state,x,y
andhra pradesh,13.0,-118.0
arunachal pradesh,199.0,120.0
assam,200.0,80.0
bihar,54.0,55.0
chhattisgarh,-13.0,-1.0
goa,-181.0,-115.0
gujarat,-183.0,42.0
haryana,-102.0,144.0
himachal pradesh,-54.0,162.0
jammu and kashmir,-115.0,230.0
jharkhand,42.0,31.0
karnataka,-131.0,-120.0
kerala,-122.0,-220.0
madhya pradesh,-71.0,30.0
maharashtra,-133.0,-26.0
manipur,200.0,40.0
meghalaya,135.0,53.0
mizoram,205.0,2.0
nagaland,250.0,65.0
odisha,32.0,-21.0
punjab,-108.0,174.0
rajasthan,-145.0,106.0
sikkim,98.0,102.0
tamil nadu,-50.0,-200.0
telangana,-67.0,-60.0
tripura,135.0,25.0
uttar pradesh,-26.0,95.0
uttarakhand,-49.0,154.0
west bengal,88.0,10.0
